"","sepal_l","sepal_w","petal_l","petal_w","species","total_l","total_w"
"1",5.1,3.5,1.4,0.2,"setosa",6.5,3.7
"2",4.9,3,1.4,0.2,"setosa",6.3,3.2
"3",4.7,3.2,1.3,0.2,"setosa",6,3.4
"4",4.6,3.1,1.5,0.2,"setosa",6.1,3.3
"6",5.4,3.9,1.7,0.4,"setosa",7.1,4.3
"7",4.6,3.4,1.4,0.3,"setosa",6,3.7
"8",5,3.4,1.5,0.2,"setosa",6.5,3.6
"9",4.4,2.9,1.4,0.2,"setosa",5.8,3.1
"10",4.9,3.1,1.5,0.1,"setosa",6.4,3.2
"11",5.4,3.7,1.5,0.2,"setosa",6.9,3.9
"12",4.8,3.4,1.6,0.2,"setosa",6.4,3.6
"13",4.8,3,1.4,0.1,"setosa",6.2,3.1
"14",4.3,3,1.1,0.1,"setosa",5.4,3.1
"15",5.8,4,1.2,0.2,"setosa",7,4.2
"16",5.7,4.4,1.5,0.4,"setosa",7.2,4.8
"17",5.4,3.9,1.3,0.4,"setosa",6.7,4.3
"18",5.1,3.5,1.4,0.3,"setosa",6.5,3.8
"19",5.7,3.8,1.7,0.3,"setosa",7.4,4.1
"20",5.1,3.8,1.5,0.3,"setosa",6.6,4.1
"21",5.4,3.4,1.7,0.2,"setosa",7.1,3.6
"22",5.1,3.7,1.5,0.4,"setosa",6.6,4.1
"23",4.6,3.6,1,0.2,"setosa",5.6,3.8
"24",5.1,3.3,1.7,0.5,"setosa",6.8,3.8
"25",4.8,3.4,1.9,0.2,"setosa",6.7,3.6
"26",5,3,1.6,0.2,"setosa",6.6,3.2
"27",5,3.4,1.6,0.4,"setosa",6.6,3.8
"28",5.2,3.5,1.5,0.2,"setosa",6.7,3.7
"29",5.2,3.4,1.4,0.2,"setosa",6.6,3.6
"30",4.7,3.2,1.6,0.2,"setosa",6.3,3.4
"31",4.8,3.1,1.6,0.2,"setosa",6.4,3.3
"32",5.4,3.4,1.5,0.4,"setosa",6.9,3.8
"33",5.2,4.1,1.5,0.1,"setosa",6.7,4.2
"34",5.5,4.2,1.4,0.2,"setosa",6.9,4.4
"35",4.9,3.1,1.5,0.2,"setosa",6.4,3.3
"36",5,3.2,1.2,0.2,"setosa",6.2,3.4
"37",5.5,3.5,1.3,0.2,"setosa",6.8,3.7
"38",4.9,3.6,1.4,0.1,"setosa",6.3,3.7
"39",4.4,3,1.3,0.2,"setosa",5.7,3.2
"40",5.1,3.4,1.5,0.2,"setosa",6.6,3.6
"41",5,3.5,1.3,0.3,"setosa",6.3,3.8
"42",4.5,2.3,1.3,0.3,"setosa",5.8,2.6
"43",4.4,3.2,1.3,0.2,"setosa",5.7,3.4
"44",5,3.5,1.6,0.6,"setosa",6.6,4.1
"45",5.1,3.8,1.9,0.4,"setosa",7,4.2
"46",4.8,3,1.4,0.3,"setosa",6.2,3.3
"47",5.1,3.8,1.6,0.2,"setosa",6.7,4
"48",4.6,3.2,1.4,0.2,"setosa",6,3.4
"49",5.3,3.7,1.5,0.2,"setosa",6.8,3.9
"50",5,3.3,1.4,0.2,"setosa",6.4,3.5
"51",7,3.2,4.7,1.4,"versicolor",11.7,4.6
"52",6.4,3.2,4.5,1.5,"versicolor",10.9,4.7
"53",6.9,3.1,4.9,1.5,"versicolor",11.8,4.6
"54",5.5,2.3,4,1.3,"versicolor",9.5,3.6
"55",6.5,2.8,4.6,1.5,"versicolor",11.1,4.3
"56",5.7,2.8,4.5,1.3,"versicolor",10.2,4.1
"57",6.3,3.3,4.7,1.6,"versicolor",11,4.9
"58",4.9,2.4,3.3,1,"versicolor",8.2,3.4
"59",6.6,2.9,4.6,1.3,"versicolor",11.2,4.2
"60",5.2,2.7,3.9,1.4,"versicolor",9.1,4.1
"61",5,2,3.5,1,"versicolor",8.5,3
"62",5.9,3,4.2,1.5,"versicolor",10.1,4.5
"63",6,2.2,4,1,"versicolor",10,3.2
"64",6.1,2.9,4.7,1.4,"versicolor",10.8,4.3
"65",5.6,2.9,3.6,1.3,"versicolor",9.2,4.2
"66",6.7,3.1,4.4,1.4,"versicolor",11.1,4.5
"67",5.6,3,4.5,1.5,"versicolor",10.1,4.5
"68",5.8,2.7,4.1,1,"versicolor",9.9,3.7
"69",6.2,2.2,4.5,1.5,"versicolor",10.7,3.7
"70",5.6,2.5,3.9,1.1,"versicolor",9.5,3.6
"71",5.9,3.2,4.8,1.8,"versicolor",10.7,5
"72",6.1,2.8,4,1.3,"versicolor",10.1,4.1
"73",6.3,2.5,4.9,1.5,"versicolor",11.2,4
"74",6.1,2.8,4.7,1.2,"versicolor",10.8,4
"75",6.4,2.9,4.3,1.3,"versicolor",10.7,4.2
"76",6.6,3,4.4,1.4,"versicolor",11,4.4
"77",6.8,2.8,4.8,1.4,"versicolor",11.6,4.2
"78",6.7,3,5,1.7,"versicolor",11.7,4.7
"79",6,2.9,4.5,1.5,"versicolor",10.5,4.4
"80",5.7,2.6,3.5,1,"versicolor",9.2,3.6
"81",5.5,2.4,3.8,1.1,"versicolor",9.3,3.5
"82",5.5,2.4,3.7,1,"versicolor",9.2,3.4
"83",5.8,2.7,3.9,1.2,"versicolor",9.7,3.9
"84",6,2.7,5.1,1.6,"versicolor",11.1,4.3
"85",5.4,3,4.5,1.5,"versicolor",9.9,4.5
"86",6,3.4,4.5,1.6,"versicolor",10.5,5
"87",6.7,3.1,4.7,1.5,"versicolor",11.4,4.6
"88",6.3,2.3,4.4,1.3,"versicolor",10.7,3.6
"89",5.6,3,4.1,1.3,"versicolor",9.7,4.3
"90",5.5,2.5,4,1.3,"versicolor",9.5,3.8
"91",5.5,2.6,4.4,1.2,"versicolor",9.9,3.8
"92",6.1,3,4.6,1.4,"versicolor",10.7,4.4
"93",5.8,2.6,4,1.2,"versicolor",9.8,3.8
"94",5,2.3,3.3,1,"versicolor",8.3,3.3
"95",5.6,2.7,4.2,1.3,"versicolor",9.8,4
"96",5.7,3,4.2,1.2,"versicolor",9.9,4.2
"97",5.7,2.9,4.2,1.3,"versicolor",9.9,4.2
"98",6.2,2.9,4.3,1.3,"versicolor",10.5,4.2
"99",5.1,2.5,3,1.1,"versicolor",8.1,3.6
"100",5.7,2.8,4.1,1.3,"versicolor",9.8,4.1
"101",6.3,3.3,6,2.5,"virginica",12.3,5.8
"102",5.8,2.7,5.1,1.9,"virginica",10.9,4.6
"103",7.1,3,5.9,2.1,"virginica",13,5.1
"104",6.3,2.9,5.6,1.8,"virginica",11.9,4.7
"105",6.5,3,5.8,2.2,"virginica",12.3,5.2
"106",7.6,3,6.6,2.1,"virginica",14.2,5.1
"107",4.9,2.5,4.5,1.7,"virginica",9.4,4.2
"108",7.3,2.9,6.3,1.8,"virginica",13.6,4.7
"109",6.7,2.5,5.8,1.8,"virginica",12.5,4.3
"110",7.2,3.6,6.1,2.5,"virginica",13.3,6.1
"111",6.5,3.2,5.1,2,"virginica",11.6,5.2
"112",6.4,2.7,5.3,1.9,"virginica",11.7,4.6
"113",6.8,3,5.5,2.1,"virginica",12.3,5.1
"114",5.7,2.5,5,2,"virginica",10.7,4.5
"115",5.8,2.8,5.1,2.4,"virginica",10.9,5.2
"116",6.4,3.2,5.3,2.3,"virginica",11.7,5.5
"117",6.5,3,5.5,1.8,"virginica",12,4.8
"118",7.7,3.8,6.7,2.2,"virginica",14.4,6
"119",7.7,2.6,6.9,2.3,"virginica",14.6,4.9
"120",6,2.2,5,1.5,"virginica",11,3.7
"121",6.9,3.2,5.7,2.3,"virginica",12.6,5.5
"122",5.6,2.8,4.9,2,"virginica",10.5,4.8
"123",7.7,2.8,6.7,2,"virginica",14.4,4.8
"124",6.3,2.7,4.9,1.8,"virginica",11.2,4.5
"125",6.7,3.3,5.7,2.1,"virginica",12.4,5.4
"126",7.2,3.2,6,1.8,"virginica",13.2,5
"127",6.2,2.8,4.8,1.8,"virginica",11,4.6
"128",6.1,3,4.9,1.8,"virginica",11,4.8
"129",6.4,2.8,5.6,2.1,"virginica",12,4.9
"130",7.2,3,5.8,1.6,"virginica",13,4.6
"131",7.4,2.8,6.1,1.9,"virginica",13.5,4.7
"132",7.9,3.8,6.4,2,"virginica",14.3,5.8
"133",6.4,2.8,5.6,2.2,"virginica",12,5
"134",6.3,2.8,5.1,1.5,"virginica",11.4,4.3
"135",6.1,2.6,5.6,1.4,"virginica",11.7,4
"136",7.7,3,6.1,2.3,"virginica",13.8,5.3
"137",6.3,3.4,5.6,2.4,"virginica",11.9,5.8
"138",6.4,3.1,5.5,1.8,"virginica",11.9,4.9
"139",6,3,4.8,1.8,"virginica",10.8,4.8
"140",6.9,3.1,5.4,2.1,"virginica",12.3,5.2
"141",6.7,3.1,5.6,2.4,"virginica",12.3,5.5
"142",6.9,3.1,5.1,2.3,"virginica",12,5.4
"143",5.8,2.7,5.1,1.9,"virginica",10.9,4.6
"144",6.8,3.2,5.9,2.3,"virginica",12.7,5.5
"145",6.7,3.3,5.7,2.5,"virginica",12.4,5.8
"146",6.7,3,5.2,2.3,"virginica",11.9,5.3
"147",6.3,2.5,5,1.9,"virginica",11.3,4.4
"148",6.5,3,5.2,2,"virginica",11.7,5
